Date,Bill number,Uniquekey,Quantity,Selling Price per unit,Total,Discount,Price after discount,Profit per unit,Profit %,
,,Band packet Local,24,10,240,,240,96,,
,,Nail,25,2,50,,50,,,
,,8 M MCB box metal Oplite,1,800,800,50,750,250,,
,,Cutter blade Tapariya,1,135,135,,135,10,,
,,,,,,Total =,27550,1585,5.75%,
,,,,,,,,,,
3-Dec-25,1,Press 600 watt Bajaj,1,500,500,,500,70,,
,,Combined box Oplite,1,110,110,,110,40,,
,,Wire 2.5mm Repro Gold,2,20,40,,40,6.68,,
,,Tester local,1,35,35,,35,7,,
,,Tape Anchor,1,10,10,,10,3,,
,2,deep light 3 watt Billtech,42,53,2226,,2226,0,,
,,Canceal light panasonic,10,77,770,,770,30,,
,,Switch Anchor,3,18.33,54.99,,33,,,
,,Pipe oplite,24,33.33,799.92,,799.92,137.52,,
,,,,,0,Total =,4523.92,304.08,6.72%,
,,,,,0,,,,,
4-Dec-25,1,Wire 1.5mm RR,1,1800,1800,,1800,0,,
,,Reo 1mm Havells,1,1280,1280,,1280,41,,
,,Reo 4mm Havells,25,55,1375,,1375,175,,
,,Wide Tape local,2,25,50,,50,12,,
,,,,,0,Total =,4505,218,4.84%,
,,,,,0,,,,,
5-Dec-25,1,18 M metal box Scom,1,180,180,,180,,,
,,6 M Metal box Scom,3,110,330,,330,,,
,,8 M Metal box Scom,1,120,120,,120,,,
,,12 M metal box Scom,1,130,130,,130,,,
,,2 M metal box Scom,1,50,50,,50,,,
,,3 M Metal box Scom,2,70,140,,140,,,
,,12 M MCB box metal Oplite,1,800,800,150,650,,,
,,clip local,40,1,40,,40,,,
,,Junction Local,7,10,70,,70,,,
,,Band packet Local,5,10,50,,50,,,
,,Pipe oplite,12,45,540,,540,,,
,2,clip local,10,1.5,15,,15,,,
,,clip local,100,1.5,150,,150,,,
,,pilas taparia,1,130,130,,130,,,
,,rode airindia,1,350,350,,350,,,
,,Combined box Oplite,1,110,110,,110,,,
,,Wire 2.5mm Repro Gold,3,25,75,,75,,,
,,,,,,Total =,,,,
,,,,,,,,,,
6-Dec-25,1,6 m metal box scon,1,110,,,,,,
,,Junction Local,3,10,,,,,,
,,Pipe oplite,3,45,,,,,,
,,clip local,30,1.5,,,,,,
,,Band packet Local,2,10,,,,,,
,,poster nails local,1,20,,,,,,
,,poster nails local,1,20,,,,,,
,,6 M white plate Anchor Penta,6,145,,,,,,
,,Bells Switch Anchor Penta modular,1,60,,,,,,
,,Water heater rod Havells,1,550,,,,,,
,,Tubelight 20 watt Panasonic,1,115,,,,,,
,,,,,,Total =,,,,
,,,,,,,,,,
7-Dec-25,1,,,,,,,,,
