Date,Item,Brand,Initial Quantity,Uniquekey,Remaining Quantity,,,Purchase Rate,Total Purchase Rate,,
24-Oct-25,Socket 20 Amp,Oplite,25,Socket 20 Amp Oplite,24,✅ In Stock,,84,2100,,
24-Oct-25,Switch 10 Amp,Oplite,200,Switch 10 Amp Oplite,180,✅ In Stock,,13.8,2760,,
24-Oct-25,Switch 20 Amp,Oplite,64,Switch 20 Amp Oplite,63,✅ In Stock,,44,2816,,
24-Oct-25,Wire 1.5mm,Oplite,4,Wire 1.5mm Oplite,4,⚠️ Low Stock,,1623,6492,,
24-Oct-25,Wire 1mm,Oplite,4,Wire 1mm Oplite,4,⚠️ Low Stock,,1098,4392,,
24-Oct-25,Wire 2.5mm,Oplite,4,Wire 2.5mm Oplite,4,⚠️ Low Stock,,2649,10596,,
24-Oct-25,Flood light 50 watt,Panasonic,0,Flood light 50 watt Panasonic,-1,⚠️ Low Stock,,850,0,,
24-Oct-25,Tubelight 10 watt,Panasonic,23,Tubelight 10 watt Panasonic,23,✅ In Stock,,100,2300,,
24-Oct-25,Tubelight 20 watt,Panasonic,59,Tubelight 20 watt Panasonic,57,✅ In Stock,,88,5192,,
24-Oct-25,3 Pin wire,Pasco,10,3 Pin wire Pasco,10,⚠️ Low Stock,,85,850,,
24-Oct-25,Ceiling Fan 1200 mm,Polar,0,Ceiling Fan 1200 mm Polar,-3,⚠️ Low Stock,,1250,0,,
24-Oct-25,Press 1200 watt,Polar,2,Press 1200 watt Polar,2,⚠️ Low Stock,,880,1760,,
24-Oct-25,Press 600 watt,Polar,1,Press 600 watt Polar,1,⚠️ Low Stock,,420,420,,
24-Oct-25,Stand Fan,Ravi,6,Stand Fan Ravi,6,⚠️ Low Stock,,1280,7680,,
24-Oct-25,Wire 1.5mm,Repro Gold,900,Wire 1.5mm Repro Gold,865,✅ In Stock,,10.55,9495,,
24-Oct-25,Wire 1mm,Repro Gold,630,Wire 1mm Repro Gold,626,✅ In Stock,,7.22,4548.6,,
24-Oct-25,Wire 2.5mm,Repro Gold,540,Wire 2.5mm Repro Gold,535,✅ In Stock,,16.66,8996.4,,
24-Oct-25,Wire 0.75mm,RR,5,Wire 0.75mm RR,3,⚠️ Low Stock,,956,4780,,
24-Oct-25,Wire 1.5mm,RR,13,Wire 1.5mm RR,10,⚠️ Low Stock,,1800,23400,,
24-Oct-25,Wire 1mm,RR,16,Wire 1mm RR,8,⚠️ Low Stock,,1245,19920,,
24-Oct-25,Wire 2.5mm,RR,13,Wire 2.5mm RR,7,⚠️ Low Stock,,2885,37505,,
24-Oct-25,12 M metal box,Scom,96,12 M metal box Scom,95,✅ In Stock,,72,6912,,
24-Oct-25,18 M metal box,Scom,15,18 M metal box Scom,14,⚠️ Low Stock,,96,1440,,
24-Oct-25,2 M metal box,Scom,92,2 M metal box Scom,91,✅ In Stock,,27,2484,,
24-Oct-25,3 M Metal box,Scom,49,3 M Metal box Scom,47,✅ In Stock,,32,1568,,
24-Oct-25,4 M Metal box,Scom,31,4 M Metal box Scom,31,✅ In Stock,,39,1209,,
24-Oct-25,6 M Metal box,Scom,84,6 M Metal box Scom,81,✅ In Stock,,52,4368,,
24-Oct-25,8 M Metal box 5*5,Scom,24,8 M Metal box 5*5 Scom,24,✅ In Stock,,60,1440,,
24-Oct-25,8 M Metal box,Scom,87,8 M Metal box Scom,86,✅ In Stock,,60,5220,,
24-Oct-25,10 M board topson,Shine,2,10 M board topson Shine,2,⚠️ Low Stock,,75,150,,
24-Oct-25,12 M board topson,Shine,2,12 M board topson Shine,2,⚠️ Low Stock,,95,190,,
24-Oct-25,2 M board topson,Shine,30,2 M board topson Shine,30,✅ In Stock,,21,630,,
24-Oct-25,3 M board topson,Shine,24,3 M board topson Shine,24,✅ In Stock,,23,552,,
24-Oct-25,4 M board topson,Shine,20,4 M board topson Shine,20,✅ In Stock,,28,560,,
24-Oct-25,5 M board topson,Shine,5,5 M board topson Shine,3,⚠️ Low Stock,,34,170,,
24-Oct-25,6 M board topson,Shine,15,6 M board topson Shine,14,⚠️ Low Stock,,36,540,,
24-Oct-25,8 M board topson,Shine,5,8 M board topson Shine,5,⚠️ Low Stock,,60,300,,
24-Oct-25,Holder master,Shine,0,Holder master Shine,0,⚠️ Low Stock,,8,0,,
24-Oct-25,Canceal box,Shivam,140,Canceal box Shivam,140,✅ In Stock,,19,2660,,
24-Oct-25,Fan box,Shivam,60,Fan box Shivam,60,✅ In Stock,,39,2340,,
24-Oct-25,combined box MCB,Star,1,combined box MCB Star,0,⚠️ Low Stock,,110,110,,
24-Oct-25,Press 1200 watt,Surya,2,Press 1200 watt Surya,2,⚠️ Low Stock,,850,1700,,
24-Oct-25,Press 600 watt,Surya,5,Press 600 watt Surya,5,⚠️ Low Stock,,385,1925,,
24-Oct-25,Mixer grinder 500,Usha,2,Mixer grinder 500 Usha,2,⚠️ Low Stock,,2140,4280,,
26-Oct-25,Bulb LED 9watt,Panasonic,48,Bulb LED 9watt Panasonic,47,✅ In Stock,,32,1536,,
